Age,Gender,Education_Level,Marital_Status,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt_to_Income_Ratio,Assets_Value,Number_of_Dependents,City,State,Country,Previous_Defaults,Marital_Status_Change,Risk_Rating
56,Female,High School,Widowed,72508,705,,Business,Employed,15,Fair,0.150337004,62718,3,Jaimeberg,RI,China,1,0,Low
61,Non-binary,High School,Single,102684,634,19182,Business,Employed,10,Excellent,0.435103483,72540,0,North Jessicaside,VI,Algeria,2,0,Medium
19,Non-binary,Bachelor's,Divorced,46170,635,34394,Personal,Employed,11,Excellent,0.542501996,110425,3,Williamport,IA,Estonia,0,0,Low
23,Non-binary,High School,Divorced,50183,736,8893,Personal,Unemployed,1,Good,0.492173698,59087,0,Cochranfort,CO,Italy,0,0,Low
63,Non-binary,PhD,Single,21135,732,49014,Business,Employed,19,Good,0.49546261,177327,2,North Jessica,AL,Vanuatu,1,2,Low
38,Non-binary,Bachelor's,Divorced,106378,613,12229,Home,Employed,1,Good,0.122799992,260176,,West Marcuschester,MS,China,3,2,Medium
43,Non-binary,PhD,Married,102990,771,,Business,Unemployed,19,Fair,0.288148735,186969,3,Kevinview,NH,Niger,2,1,Low
31,Non-binary,Master's,Single,61057,775,36454,Personal,Unemployed,10,Excellent,0.308930088,58628,1,Lake Janice,TN,Sierra Leone,4,1,Low
68,Non-binary,Bachelor's,Single,71986,670,36843,Personal,Self-employed,9,Good,0.446109113,211943,0,Jodihaven,AS,Togo,0,0,Low
32,Male,Master's,Divorced,48082,639,9937,Home,Unemployed,18,Excellent,0.343449067,297632,1,Lopezfurt,DC,Serbia,3,2,Medium
43,Male,High School,Married,117898,733,27737,Home,Self-employed,11,Excellent,0.343808729,271268,3,Richardsland,ME,Saint Barthelemy,1,2,Low
54,Non-binary,High School,Divorced,28083,638,31626,Personal,Unemployed,12,Poor,0.261662771,240980,4,Port Kathleenhaven,AL,Qatar,4,1,Low
66,Non-binary,PhD,Married,54592,776,22994,Home,Self-employed,12,Fair,0.535285415,152199,0,Curryhaven,NM,Mauritius,4,1,Low
20,Male,Bachelor's,Divorced,48281,755,9518,Auto,Employed,10,Fair,0.158545807,59184,3,North Johnnybury,NY,Djibouti,0,1,Medium
64,Female,Bachelor's,Widowed,68838,660,26275,Personal,Employed,6,Fair,0.343875451,269138,,Michellefurt,FL,Uganda,0,1,Low
39,Female,Master's,Divorced,31251,625,19833,Business,Unemployed,19,Fair,0.49750222,169675,1,Lake Elizabethfort,FL,Sudan,2,0,Low
29,Female,High School,Single,61201,620,33652,Business,Employed,6,Poor,0.516994507,244228,4,Lindachester,CT,France,0,2,Low
36,Non-binary,High School,Married,71899,655,,Auto,Self-employed,15,Poor,0.163918821,192098,4,Sheilabury,FM,Greece,0,0,Medium
24,Female,PhD,Widowed,62631,610,15738,Business,Unemployed,0,Excellent,0.16757722,240332,1,South Rebeccaville,TX,Saint Lucia,4,0,Medium
45,Non-binary,PhD,Widowed,,,30823,Home,Unemployed,2,Poor,0.197596916,250408,,Lake Kaylachester,KY,Cayman Islands,1,1,Low
48,Non-binary,Master's,Married,71658,707,7839,Auto,Self-employed,9,Poor,0.233182977,181511,1,Port Billy,TN,Andorra,2,0,Medium
68,Non-binary,PhD,Married,72357,705,7128,Home,Unemployed,9,Poor,0.463935601,,1,Port Anitaton,MH,Ukraine,2,1,Low
61,Female,High School,Widowed,24153,769,44606,Business,Unemployed,17,Fair,0.364587881,271066,,West Jill,RI,Bahrain,3,1,Medium
64,Female,High School,Divorced,,763,35517,Home,Self-employed,16,Fair,0.155083266,169657,4,Mcgeebury,UT,Ethiopia,0,1,Medium
24,Male,High School,Single,112345,765,5715,Business,Employed,15,Poor,0.583298646,291385,4,Keithbury,OR,Bahamas,1,0,Low
19,Male,High School,Married,78169,,37910,Personal,Self-employed,12,Poor,0.36801508,57975,4,West Nicole,AL,Bolivia,2,1,Medium
54,Female,PhD,Single,111903,632,23691,Auto,Employed,2,Good,0.470446902,188922,2,Port Tammy,GA,San Marino,0,2,Low
58,Female,PhD,Widowed,98027,779,11580,Home,Self-employed,4,Good,0.363622224,113784,2,South Lisa,AZ,Papua New Guinea,1,0,Medium
36,Male,PhD,Widowed,23657,,8945,Auto,Unemployed,3,Good,0.572417801,177916,2,New Shellyshire,AK,Kyrgyz Republic,,0,Low
34,Male,Bachelor's,Divorced,81455,,32623,Personal,Employed,15,Fair,0.243107118,37783,0,Moonchester,MH,Bangladesh,3,1,Low
55,Male,PhD,Divorced,33292,,39561,Home,Employed,19,Excellent,0.332786653,,1,West Brianville,MP,Colombia,1,0,High
53,Non-binary,Bachelor's,Widowed,108890,,17915,Home,Self-employed,7,Good,0.204328554,219289,3,Stewartland,IA,Jersey,4,1,Low
31,Female,PhD,Single,106840,,37522,Home,Self-employed,12,Fair,0.430126221,59811,4,Cunninghamside,PA,Moldova,4,0,Medium
53,Male,Master's,Divorced,119655,772,20173,Auto,Self-employed,12,Excellent,0.201695984,195572,4,Conwaymouth,NM,Singapore,0,2,Low
61,Female,Master's,Single,,773,,Auto,Self-employed,1,Fair,0.127711342,289696,2,Grosshaven,PA,Myanmar,3,0,Medium
60,Female,Bachelor's,Married,,668,38923,Auto,Employed,5,Poor,0.458845886,128178,2,Stephanieland,MD,Taiwan,4,0,Low
34,Female,PhD,Divorced,,,16408,Home,Unemployed,17,Excellent,0.122103364,135677,,Hendricksbury,NJ,Sierra Leone,0,0,Low
18,Non-binary,Master's,Divorced,69862,793,46612,Auto,Employed,1,Poor,0.567811918,284107,3,South Bryanside,NH,Malta,0,0,Low
35,Female,High School,Single,29136,641,,Home,Self-employed,17,Fair,0.508339213,74438,3,East Jamiechester,TN,Uzbekistan,3,0,Low
45,Male,PhD,Single,98066,723,34120,Personal,Self-employed,18,Poor,0.531825713,120055,1,South Lisaville,MS,Greenland,,1,High
28,Non-binary,Master's,Married,69282,733,,Auto,Unemployed,1,Good,0.364348748,211084,,Laurenville,ID,Chad,0,2,Low
25,Male,High School,Divorced,,710,38845,Auto,Employed,14,Excellent,0.134635782,232815,3,Sallytown,UT,Montenegro,3,0,Low
68,Female,Bachelor's,Single,68707,643,15951,Auto,Self-employed,12,Poor,0.314789341,144979,,New Maria,ID,Ghana,3,1,Low
55,Non-binary,Bachelor's,Divorced,83308,613,48426,Personal,Self-employed,12,Fair,0.387427745,126894,3,Steelehaven,IL,Brunei Darussalam,0,1,Low
40,Non-binary,PhD,Single,33079,707,13770,Home,Unemployed,6,Fair,0.48752531,223038,4,Kellymouth,IL,Botswana,4,0,Low
35,Non-binary,High School,Single,53948,,33959,Personal,Unemployed,7,Poor,0.3064492,55840,0,Alexishaven,HI,China,3,2,Low
47,Female,Master's,Married,,694,34281,Home,Self-employed,12,Poor,0.57309224,199243,3,East Meganville,NC,Malta,3,0,Low
26,Male,PhD,Widowed,,767,31485,Business,Employed,16,Good,0.447639818,69581,2,South Tamaraburgh,NM,Mayotte,4,2,Medium
68,Female,Bachelor's,Widowed,101171,746,33368,Home,Unemployed,0,Fair,0.34860512,170018,2,West Glennburgh,VA,Japan,3,0,Medium
26,Female,PhD,Divorced,,,8159,Business,Employed,15,Poor,0.523139127,278656,0,Hannahstad,NH,Bangladesh,4,0,Medium
33,Non-binary,High School,Divorced,,741,7319,Home,Unemployed,1,Poor,0.417443865,238284,4,Port Haydenland,HI,Aruba,2,1,Low
65,Male,Master's,Married,94130,617,32124,Home,Employed,2,Excellent,0.563325486,,4,Jenniferport,ID,Uruguay,,0,Low
22,Female,Bachelor's,Divorced,37986,704,27029,Business,Self-employed,17,Poor,0.104369709,166714,0,Lindaview,OK,Kenya,2,0,Low
32,Male,PhD,Divorced,,741,31291,Auto,Employed,12,Poor,0.185684346,243900,4,Lake Tammyberg,MS,Jersey,4,2,Low
35,Female,High School,Widowed,,783,16329,Auto,Employed,16,Poor,0.350298905,244487,2,South Michelleton,PR,Uzbekistan,,2,Medium
61,Male,High School,Divorced,66612,686,45583,Personal,Employed,7,Excellent,0.11125728,32208,2,Tonyaton,AL,Niue,4,0,Low
22,Non-binary,High School,Single,54296,688,18432,Personal,Employed,18,Good,0.134128817,145527,1,Martinezmouth,IA,Poland,1,0,Low
18,Female,High School,Divorced,,,14515,Business,Unemployed,1,Excellent,0.296113834,41906,1,East Carolynburgh,LA,Canada,,0,Low
32,Female,Master's,Widowed,52799,791,16677,Auto,Unemployed,11,Poor,0.227381903,,4,Craneland,AZ,Portugal,,1,Low
23,Female,Master's,Widowed,89563,722,6331,Home,Employed,17,Good,0.149540579,65227,0,Gloverstad,DE,Zambia,3,0,Low
46,Female,Bachelor's,Divorced,40407,,16957,Home,Unemployed,5,Good,0.317969239,273704,2,North Perryland,HI,Haiti,1,0,Medium
59,Female,Bachelor's,Widowed,118994,636,17254,Auto,Self-employed,13,Good,0.463204308,120646,2,West Crystal,ID,Trinidad and Tobago,4,0,Medium
65,Female,PhD,Married,94289,746,41806,Business,Unemployed,9,Good,0.488433328,110057,2,West Tylermouth,MD,Georgia,4,0,Low
43,Male,Master's,Widowed,33706,700,21272,Auto,Unemployed,15,Good,0.484584075,25596,4,Lake Janefort,OR,Belarus,2,1,Medium
67,Non-binary,Bachelor's,Single,57190,,,Home,Self-employed,16,Fair,0.434700606,191626,,Kerrishire,MP,Sierra Leone,2,1,Low
62,Non-binary,Bachelor's,Divorced,43237,698,9165,Business,Employed,17,Excellent,0.161131989,162761,1,Martinezhaven,NE,Guernsey,3,1,Medium
61,Male,Master's,Widowed,77924,,,Auto,Employed,8,Good,0.28381014,25738,4,South Ruthberg,VI,Guam,2,1,Low
28,Non-binary,Master's,Single,,666,9819,Personal,Employed,5,Good,0.311090597,222379,2,Kevinside,MS,French Guiana,0,1,Low
52,Non-binary,Bachelor's,Married,113885,758,45431,Home,Employed,2,Excellent,0.418271615,65753,2,Jamesmouth,NY,Colombia,3,2,Low
69,Non-binary,Bachelor's,Single,,720,29432,Auto,Self-employed,10,Poor,0.191358841,254084,2,Port Patrick,SC,Timor-Leste,1,2,Medium
37,Female,High School,Married,,728,9985,Business,Unemployed,10,Fair,0.368679168,126741,4,Daniellebury,VT,Hong Kong,2,1,High
24,Female,Bachelor's,Single,41162,646,47191,Home,Unemployed,0,Excellent,0.418394011,116129,1,Williamchester,UT,Ethiopia,,2,High
65,Male,High School,Widowed,63401,635,40030,Personal,Employed,4,Poor,0.48803986,200753,2,Jamesview,SC,Grenada,2,2,Low
55,Female,Master's,Married,30384,,14766,Personal,Employed,8,Poor,0.177908954,,1,South Mollyhaven,OK,Czech Republic,,2,Low
57,Non-binary,High School,Widowed,108148,633,23508,Home,Unemployed,8,Fair,0.202647016,259766,2,Samuelton,ME,Pakistan,0,1,Medium
47,Female,PhD,Married,74911,664,,Auto,Self-employed,17,Good,0.115067365,168268,2,Jamieberg,CT,Slovakia (Slovak Republic),3,0,Medium
26,Male,PhD,Widowed,,651,,Personal,Employed,14,Poor,0.316427199,156321,3,West Aaron,KS,Samoa,0,0,Low
28,Male,PhD,Single,,772,43187,Business,Employed,16,Excellent,0.454106882,171389,3,Riosmouth,AZ,Benin,3,1,Low
38,Male,Master's,Married,,,30929,Auto,Self-employed,1,Excellent,0.208519042,287533,1,Thomasberg,NV,Falkland Islands (Malvinas),4,2,Low
64,Female,Bachelor's,Divorced,103967,668,8513,Business,Employed,1,Excellent,0.386088348,139932,2,Lake Jamie,DC,United Arab Emirates,1,2,Medium
33,Non-binary,PhD,Divorced,116969,694,5465,Personal,Employed,2,Poor,0.138078181,155501,1,Garciafort,KY,Guernsey,,0,Medium
44,Non-binary,Bachelor's,Single,,625,16304,Auto,Self-employed,19,Poor,0.219594194,135256,3,Natashaview,NE,Thailand,3,0,High
19,Male,High School,Divorced,24163,753,14362,Auto,Employed,19,Excellent,0.299366042,116590,0,West Michelleville,CO,Latvia,4,1,High
51,Male,Master's,Married,59913,793,46664,Business,Employed,11,Excellent,0.379126492,,4,South Laura,CO,San Marino,4,1,Low
44,Female,High School,Married,78906,657,29796,Auto,Unemployed,4,Fair,0.168169584,149758,0,New Joseph,IL,Pitcairn Islands,,0,Low
20,Male,Bachelor's,Divorced,81742,645,7162,Personal,Self-employed,6,Good,0.546804443,,1,Port Caseyburgh,OK,Christmas Island,2,0,Low
61,Non-binary,Bachelor's,Married,111434,,16736,Personal,Unemployed,0,Good,0.269459518,113304,,Maryberg,TX,Bosnia and Herzegovina,3,0,Low
23,Non-binary,Bachelor's,Divorced,44660,688,19474,Home,Unemployed,14,Excellent,0.129733424,290916,2,Donaldsonfurt,MA,Tuvalu,4,0,Medium
37,Male,Bachelor's,Widowed,44806,756,5565,Auto,Self-employed,1,Good,0.183583531,40603,4,East Anneshire,MD,Trinidad and Tobago,,0,High
36,Non-binary,Master's,Divorced,105523,664,23710,Personal,Employed,13,Good,0.415573705,91365,0,Port Carrie,OK,Brazil,,1,Low
44,Female,PhD,Divorced,,778,47342,Auto,Self-employed,16,Excellent,0.352704514,226002,3,North Scottside,NE,Czech Republic,3,2,Low
34,Female,PhD,Divorced,105807,730,26131,Personal,Unemployed,13,Good,0.192396181,202969,2,Port Sarah,CT,Israel,,2,Medium
57,Female,Master's,Single,92043,609,9274,Home,Unemployed,10,Good,0.133874323,104422,3,Jonesfurt,DE,Uruguay,0,0,Low
54,Male,Master's,Married,87381,617,12611,Personal,Employed,17,Poor,0.470407521,241773,2,Fosterstad,MD,Sweden,0,2,Low
23,Male,Master's,Single,107938,630,,Business,Unemployed,16,Excellent,0.278292193,239088,3,Johnsonfurt,PR,Germany,1,0,Low
63,Female,High School,Widowed,44791,720,,Auto,Self-employed,9,Good,0.110591449,201162,4,Lake Kelly,VA,Luxembourg,4,0,Medium
19,Male,Bachelor's,Single,29496,,44766,Business,Employed,3,Excellent,0.293264286,189989,1,Jakemouth,WY,Cote d'Ivoire,3,2,Low
43,Non-binary,PhD,Married,61132,700,5654,Home,Employed,18,Poor,0.336442965,246098,0,Jasonland,NJ,Guyana,1,0,High
31,Female,Bachelor's,Single,42161,714,,Home,Employed,7,Fair,0.296887065,72775,1,Tammybury,DC,Saudi Arabia,,1,Low
50,Male,Master's,Divorced,118833,750,12087,Home,Unemployed,0,Poor,0.404471323,115796,,Williamsburgh,WY,Niger,3,0,Low
43,Male,High School,Married,91826,,,Business,Employed,6,Poor,0.275051513,185558,3,Reneebury,VI,Gabon,,2,High
27,Male,High School,Married,,786,12531,Personal,Employed,18,Excellent,0.145127283,104280,2,East Christopher,CA,Gibraltar,0,0,Medium
22,Non-binary,High School,Single,102299,,29983,Home,Self-employed,1,Good,0.18559098,87603,1,North Chad,TN,Germany,1,0,High
19,Male,Master's,Divorced,56726,665,7275,Business,Employed,18,Good,0.133825566,36002,4,Jeffview,NE,Panama,,2,Medium
21,Male,High School,Married,105381,631,49073,Home,Employed,3,Good,0.483040205,294640,0,Perryport,ME,Cambodia,2,2,Medium
23,Female,High School,Single,33133,613,29616,Personal,Unemployed,18,Excellent,0.306451274,,1,West Staceyberg,WA,Papua New Guinea,0,1,High
41,Female,High School,Divorced,,657,29662,Personal,Unemployed,16,Good,0.52101328,128615,4,North Jonathan,WY,Svalbard & Jan Mayen Islands,0,1,Low
52,Male,PhD,Married,33065,634,48272,Home,Self-employed,13,Fair,0.365278166,129573,2,Jeanhaven,MT,United States Minor Outlying Islands,1,1,Medium
41,Non-binary,High School,Single,59979,689,,Auto,Employed,0,Good,0.382427228,97011,3,South Miranda,OH,Tokelau,0,0,Low
55,Female,High School,Married,26800,731,46575,Home,Self-employed,17,Fair,0.273535982,170870,4,North Ryan,TN,Iran,1,0,Low
61,Non-binary,PhD,Widowed,21620,760,21882,Auto,Self-employed,7,Fair,0.222733203,121171,4,Cassandrachester,WV,Djibouti,0,1,Low
26,Male,High School,Married,39307,631,42994,Auto,Unemployed,19,Excellent,0.23911859,143189,4,South Adam,DC,Portugal,2,2,Medium
48,Male,High School,Widowed,115001,652,25286,Personal,Unemployed,7,Excellent,0.365966576,63368,1,Wardton,UT,China,2,0,Low
66,Female,Bachelor's,Single,105641,768,35759,Auto,Employed,4,Poor,0.457216828,290309,4,Port Paul,SD,Saint Helena,2,2,Low
34,Female,High School,Married,,716,,Personal,Unemployed,5,Poor,0.494973967,64176,0,West Jennifer,OK,Saudi Arabia,3,1,Low
48,Male,Master's,Married,,,,Auto,Employed,2,Poor,0.389455609,33992,2,Johnton,VA,Iran,1,1,Medium
18,Non-binary,Master's,Single,32501,789,28289,Personal,Unemployed,4,Poor,0.203914338,251867,2,Turnerchester,ID,Qatar,1,1,Medium
25,Non-binary,Bachelor's,Widowed,78639,707,13554,Personal,Employed,17,Excellent,0.177606796,271003,1,Port Theresaville,PW,Nauru,3,1,Medium
45,Non-binary,Bachelor's,Divorced,93967,712,19887,Business,Self-employed,6,Good,0.591026175,,2,Anthonyborough,MH,Dominican Republic,1,1,Low
54,Male,Bachelor's,Widowed,,771,5740,Home,Unemployed,16,Excellent,0.497263386,229756,3,Johnberg,MP,Kyrgyz Republic,3,2,Low
31,Female,Bachelor's,Married,60821,600,6571,Auto,Self-employed,15,Good,0.358475381,56937,1,Port Keith,VT,Sweden,0,0,Low
39,Male,Bachelor's,Divorced,46038,610,,Business,Unemployed,15,Fair,0.322324769,94914,0,Debbiehaven,NM,Lesotho,2,2,High
28,Non-binary,Master's,Married,82110,768,,Business,Self-employed,13,Excellent,0.350381787,265876,,South Michaelmouth,WY,Senegal,4,1,Low
40,Non-binary,Bachelor's,Single,73516,,39091,Home,Unemployed,18,Excellent,0.413561707,23746,4,Kleinbury,TN,Cape Verde,0,0,Low
18,Male,Master's,Divorced,103003,775,,Home,Employed,4,Fair,0.513838177,,4,Cummingsside,LA,Bolivia,4,2,Medium
57,Male,PhD,Divorced,,629,31730,Auto,Employed,19,Good,0.204519589,,0,Higginsshire,PA,Switzerland,4,2,High
36,Female,High School,Single,36108,654,47629,Personal,Employed,10,Excellent,0.549394562,159077,2,South Gregory,MP,Albania,0,1,Low
29,Female,Master's,Widowed,,768,28318,Home,Self-employed,0,Poor,0.567393303,223966,3,East Jordanbury,MP,Cape Verde,,0,Low
64,Female,Master's,Divorced,45832,710,,Personal,Self-employed,6,Fair,0.419548272,24836,0,Michelleburgh,OK,French Southern Territories,3,1,Low
55,Male,PhD,Widowed,105312,622,42011,Personal,Unemployed,18,Poor,0.341497722,191572,0,South Crystalfort,DC,Lao People's Democratic Republic,,0,High
45,Non-binary,PhD,Divorced,97755,714,47459,Business,Unemployed,4,Good,0.195046674,263004,1,Flemingbury,OK,Northern Mariana Islands,0,1,Low
58,Non-binary,Bachelor's,Divorced,72890,729,44683,Personal,Self-employed,15,Good,0.20513937,43986,0,Munozmouth,AK,Mali,0,1,Low
30,Non-binary,High School,Divorced,38268,784,18878,Home,Self-employed,11,Poor,0.526359729,150597,,Adamsport,WV,Christmas Island,1,1,Low
61,Non-binary,Master's,Divorced,56527,603,45719,Auto,Employed,1,Poor,0.107516034,,2,West Krista,LA,Faroe Islands,3,2,Low
25,Female,PhD,Widowed,115773,675,,Personal,Self-employed,19,Fair,0.389649506,106602,4,Lake Brian,TX,Cote d'Ivoire,3,1,Low
45,Male,PhD,Married,,626,49881,Personal,Employed,6,Fair,0.274032482,55380,3,South Rhondafort,MT,Kyrgyz Republic,2,1,Medium
50,Male,PhD,Single,89926,,44876,Home,Unemployed,4,Excellent,0.528400836,89374,3,South Walter,DC,Montenegro,1,2,Low
57,Female,High School,Divorced,34987,677,7301,Personal,Employed,12,Poor,0.393403747,160851,4,Navarroburgh,MH,Saint Vincent and the Grenadines,2,2,Medium
57,Male,PhD,Widowed,90030,690,43194,Business,Employed,12,Good,0.444593356,124972,0,Priceview,TN,North Macedonia,0,0,High
22,Male,Bachelor's,Widowed,72249,697,6492,Personal,Employed,4,Excellent,0.292539227,,3,Robertsonchester,HI,Guam,0,0,Low
68,Female,PhD,Single,,602,,Personal,Employed,1,Excellent,0.426190844,74448,3,Juanville,LA,Georgia,1,0,Low
25,Female,High School,Single,29179,691,16771,Personal,Self-employed,2,Excellent,0.586917251,,3,Matthewsport,NM,Mozambique,3,1,Medium
59,Non-binary,Bachelor's,Married,102168,790,13869,Home,Employed,0,Poor,0.583677779,166313,3,East Nathanhaven,MT,Tokelau,1,0,Low
34,Male,Bachelor's,Divorced,117686,701,30563,Personal,Self-employed,17,Good,0.585212334,66595,4,New Josephshire,IA,Turkey,1,1,Low
18,Female,High School,Single,108602,799,5332,Auto,Employed,11,Poor,0.186855687,76312,3,East Maria,LA,Grenada,4,2,Medium
41,Female,PhD,Married,97318,769,7002,Personal,Employed,4,Poor,0.238885651,,3,Markside,WY,Chile,1,2,Low
25,Non-binary,Bachelor's,Married,,770,,Personal,Employed,8,Poor,0.42346559,245428,,East Derek,VI,Montserrat,,0,Low
45,Male,Bachelor's,Single,42555,680,34695,Home,Employed,4,Excellent,0.4540456,,,Mccoyview,VI,Montenegro,2,0,Low
39,Male,Bachelor's,Married,112222,737,33130,Home,Employed,11,Excellent,0.425858605,245334,,East Oscar,ID,Azerbaijan,4,1,High
68,Female,Master's,Divorced,23346,600,,Personal,Self-employed,0,Fair,0.589575187,,,North Rebecca,IA,Oman,1,2,Medium
23,Female,Master's,Divorced,116669,782,28263,Auto,Employed,14,Excellent,0.35701895,288793,,Martinezfurt,NE,Niue,,1,Low
22,Female,Bachelor's,Divorced,50268,764,19040,Business,Unemployed,19,Poor,0.597737364,124363,0,Juliebury,DE,San Marino,,1,Medium
64,Non-binary,High School,Divorced,80044,706,8392,Auto,Self-employed,6,Poor,0.506514339,187417,4,Paulashire,KS,British Virgin Islands,2,0,Low
35,Non-binary,PhD,Divorced,31377,690,26570,Home,Unemployed,16,Good,0.402610126,111597,3,West Michael,MO,Rwanda,0,0,Low
45,Non-binary,Bachelor's,Divorced,105977,,36285,Personal,Self-employed,11,Good,0.10221208,228883,4,South Robert,CT,Northern Mariana Islands,1,0,Medium
42,Non-binary,Bachelor's,Widowed,89070,,18488,Personal,Employed,11,Excellent,0.555160219,53198,2,Johnsonfurt,WY,Marshall Islands,1,2,Low
66,Male,High School,Married,72748,711,,Home,Unemployed,5,Good,0.197163506,190518,4,Nathanstad,VI,Hong Kong,2,2,Low
36,Female,Master's,Widowed,39750,649,12139,Auto,Employed,19,Fair,0.405760055,106118,3,Erinton,SD,Belarus,2,2,High
30,Male,High School,Widowed,92195,661,17862,Personal,Unemployed,13,Excellent,0.49251948,,2,Brandimouth,AL,Senegal,,1,High
45,Non-binary,Bachelor's,Divorced,115515,718,45789,Personal,Unemployed,12,Fair,0.323737968,,4,North Adammouth,NE,Cayman Islands,0,0,Medium
49,Non-binary,Bachelor's,Widowed,116093,723,42926,Home,Self-employed,4,Fair,0.212951981,40257,2,Smithview,IA,Sudan,,2,Medium
48,Male,High School,Divorced,88283,720,,Auto,Employed,10,Excellent,0.109377955,108752,3,Rodriguezville,CO,Belize,3,2,Low
30,Male,Bachelor's,Widowed,89541,662,,Home,Self-employed,9,Excellent,0.404411986,274820,2,North Jessicaton,MT,Aruba,4,2,Low
37,Non-binary,Master's,Widowed,108509,701,,Business,Self-employed,16,Poor,0.166705445,219044,0,North Deborahfort,NJ,Bosnia and Herzegovina,4,2,High
30,Female,Bachelor's,Single,90480,,23125,Personal,Employed,4,Excellent,0.327963763,113249,4,New Christine,IL,Bangladesh,4,0,Medium
46,Female,Bachelor's,Married,46671,791,12092,Auto,Employed,2,Fair,0.120895298,105478,3,Susanmouth,VA,Mauritania,1,0,Low
53,Male,High School,Divorced,75210,629,46073,Auto,Self-employed,1,Poor,0.25279522,150556,0,West Anthony,PW,Saint Martin,0,2,Medium
53,Non-binary,High School,Single,,642,19497,Business,Employed,1,Poor,0.598431336,227148,1,Lyonsshire,MT,Kazakhstan,3,1,Low
64,Non-binary,Bachelor's,Divorced,,704,26636,Business,Employed,16,Fair,0.11551149,,0,New Justinfurt,MP,Wallis and Futuna,2,1,Low
50,Female,Master's,Married,39623,782,9214,Home,Self-employed,3,Good,0.338953088,193342,2,North Peterfurt,CO,Turkey,0,0,Medium
52,Female,Bachelor's,Married,25988,727,,Home,Employed,8,Excellent,0.463729395,141156,,West Nicoleview,MO,Cameroon,3,0,Medium
56,Non-binary,High School,Widowed,38722,,32686,Auto,Unemployed,13,Excellent,0.493566455,,2,Johnsonburgh,MA,Australia,,2,Low
37,Non-binary,Bachelor's,Widowed,65221,763,44264,Home,Unemployed,9,Excellent,0.301995926,196053,1,Lake Jonathan,KS,Anguilla,2,0,High
59,Female,High School,Married,37907,,39055,Personal,Unemployed,8,Good,0.164555303,,,New Amy,SD,Nigeria,0,2,Low
40,Non-binary,PhD,Widowed,115833,734,6488,Auto,Employed,4,Excellent,0.233933227,26634,3,West Charles,KY,Bulgaria,,1,Medium
34,Male,PhD,Married,,637,18682,Personal,Unemployed,16,Fair,0.120994175,175387,2,Shawmouth,MP,Tanzania,0,2,Low
48,Non-binary,Bachelor's,Widowed,109364,668,15281,Auto,Unemployed,16,Good,0.167345235,296493,3,East Jason,RI,Mauritania,2,0,Low
41,Female,PhD,Single,20185,670,37897,Business,Employed,8,Poor,0.335747279,258954,1,Moraleschester,ID,Equatorial Guinea,4,0,Medium
40,Non-binary,Bachelor's,Widowed,79379,774,,Business,Employed,1,Good,0.373437205,253816,4,Averytown,AL,Ghana,3,0,High
45,Female,High School,Widowed,28469,635,27982,Home,Unemployed,1,Good,0.576871939,168066,2,Lake Kelseymouth,PR,Ukraine,3,0,Low
68,Female,High School,Divorced,20888,,,Auto,Unemployed,2,Excellent,0.284444329,237983,4,North Larry,KY,French Southern Territories,3,1,Low
43,Male,Bachelor's,Widowed,30002,614,36736,Home,Self-employed,16,Poor,0.43194053,146180,3,Lake Jillport,FM,Isle of Man,1,0,Low
39,Non-binary,Master's,Divorced,117192,689,21888,Business,Self-employed,2,Excellent,0.370107934,,,Lake Jared,UT,Argentina,2,1,Medium
26,Female,Master's,Single,112199,647,42982,Home,Employed,13,Fair,0.105343069,228001,,South Gavinfort,VT,Saint Lucia,1,2,Low
34,Male,Bachelor's,Divorced,95955,618,,Home,Unemployed,6,Excellent,0.408295832,262852,0,New Ruth,VA,Norway,3,2,Low
57,Female,Master's,Single,39121,641,40720,Auto,Unemployed,9,Fair,0.555054319,142231,2,Port Sarahshire,AK,Western Sahara,3,0,High
62,Female,High School,Married,,626,7215,Auto,Employed,3,Poor,0.457412673,154315,1,North Kevin,NM,Bahrain,4,0,Low
33,Female,High School,Widowed,29033,648,42112,Personal,Self-employed,1,Excellent,0.308766256,88385,1,Dawntown,AK,Serbia,2,2,Medium
68,Non-binary,Bachelor's,Widowed,88637,724,40076,Personal,Self-employed,19,Fair,0.460504411,104810,0,Hammondstad,OR,Ecuador,,1,High
63,Non-binary,Master's,Married,103130,690,,Business,Unemployed,5,Good,0.554489016,68019,0,Courtneymouth,FL,Germany,,1,Low
67,Male,Master's,Married,70806,600,22018,Business,Self-employed,9,Good,0.478277935,78437,2,Paynebury,MP,Vanuatu,3,0,Medium
35,Non-binary,High School,Widowed,80098,692,24119,Auto,Self-employed,16,Good,0.39801963,274489,0,Andrewborough,SC,Spain,2,1,Low
39,Female,Master's,Divorced,,732,,Business,Unemployed,15,Poor,0.321895652,146107,1,Jenkinsville,AS,Gibraltar,3,0,Low
44,Male,Bachelor's,Divorced,,650,,Business,Self-employed,2,Excellent,0.552915921,220671,,Baileystad,GU,Serbia,4,2,Low
26,Male,Bachelor's,Divorced,114711,684,43402,Auto,Employed,12,Poor,0.243013522,,1,Martinberg,NC,Bahrain,4,1,Low
26,Female,Bachelor's,Single,45482,,28707,Personal,Employed,10,Fair,0.286170522,138642,4,Christophermouth,FM,Tonga,2,0,Medium
