feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,label
55.0,55.0,64.0,58.0,73.0,63.0,52.0,46.0,59.0,59.0,0.0
63.0,70.0,69.0,55.0,50.0,50.0,54.0,57.0,62.0,54.0,0.0
62.0,63.0,61.0,51.0,64.0,77.0,62.0,36.0,70.0,54.0,0.0
78.0,61.0,47.0,44.0,72.0,69.0,78.0,60.0,60.0,57.0,0.0
55.0,57.0,62.0,53.0,47.0,61.0,53.0,34.0,64.0,51.0,0.0
65.0,65.0,62.0,80.0,59.0,58.0,65.0,60.0,69.0,50.0,0.0
50.0,66.0,51.0,65.0,63.0,54.0,63.0,50.0,52.0,58.0,0.0
61.0,58.0,63.0,63.0,72.0,59.0,70.0,67.0,78.0,59.0,0.0
57.0,70.0,63.0,70.0,66.0,43.0,63.0,62.0,61.0,59.0,0.0
47.0,67.0,63.0,69.0,48.0,64.0,58.0,61.0,58.0,64.0,0.0
59.0,52.0,61.0,58.0,59.0,35.0,65.0,57.0,49.0,67.0,0.0
65.0,57.0,51.0,61.0,61.0,67.0,56.0,70.0,56.0,49.0,0.0
51.0,60.0,59.0,63.0,59.0,68.0,58.0,44.0,59.0,44.0,0.0
62.0,68.0,52.0,71.0,67.0,70.0,62.0,52.0,66.0,55.0,0.0
61.0,59.0,69.0,66.0,59.0,44.0,55.0,66.0,62.0,48.0,0.0
46.0,62.0,52.0,52.0,65.0,70.0,54.0,60.0,59.0,59.0,0.0
60.0,66.0,55.0,48.0,73.0,69.0,51.0,61.0,68.0,66.0,0.0
64.0,59.0,74.0,62.0,56.0,67.0,61.0,63.0,62.0,64.0,0.0
52.0,48.0,71.0,62.0,66.0,46.0,69.0,56.0,54.0,59.0,0.0
52.0,60.0,59.0,68.0,72.0,72.0,42.0,53.0,42.0,50.0,0.0
55.0,63.0,56.0,56.0,61.0,46.0,53.0,56.0,58.0,61.0,0.0
72.0,67.0,54.0,58.0,57.0,56.0,62.0,45.0,67.0,74.0,0.0
58.0,58.0,61.0,68.0,57.0,67.0,64.0,79.0,57.0,44.0,0.0
49.0,60.0,68.0,55.0,58.0,65.0,52.0,55.0,51.0,69.0,0.0
72.0,47.0,59.0,71.0,63.0,56.0,48.0,69.0,63.0,48.0,0.0
69.0,47.0,58.0,58.0,73.0,58.0,58.0,49.0,55.0,53.0,0.0
54.0,60.0,41.0,48.0,59.0,61.0,58.0,60.0,57.0,60.0,0.0
63.0,63.0,55.0,67.0,61.0,70.0,71.0,48.0,53.0,66.0,0.0
47.0,71.0,57.0,65.0,59.0,49.0,68.0,82.0,56.0,57.0,0.0
39.0,71.0,67.0,46.0,44.0,44.0,65.0,66.0,53.0,64.0,0.0
61.0,57.0,68.0,50.0,69.0,54.0,74.0,52.0,57.0,60.0,0.0
60.0,64.0,50.0,60.0,61.0,56.0,63.0,49.0,57.0,54.0,0.0
57.0,72.0,72.0,70.0,56.0,67.0,61.0,60.0,59.0,74.0,0.0
71.0,66.0,59.0,60.0,64.0,56.0,67.0,53.0,63.0,42.0,0.0
56.0,77.0,68.0,72.0,55.0,61.0,70.0,65.0,64.0,73.0,0.0
52.0,59.0,46.0,51.0,69.0,53.0,66.0,73.0,59.0,64.0,0.0
66.0,50.0,55.0,52.0,56.0,66.0,55.0,60.0,52.0,70.0,0.0
56.0,72.0,60.0,49.0,59.0,52.0,65.0,58.0,61.0,57.0,0.0
56.0,52.0,67.0,59.0,57.0,58.0,55.0,58.0,62.0,52.0,0.0
53.0,71.0,57.0,56.0,49.0,67.0,52.0,60.0,46.0,67.0,0.0
69.0,64.0,48.0,67.0,53.0,51.0,57.0,57.0,56.0,70.0,0.0
76.0,49.0,55.0,61.0,57.0,63.0,67.0,66.0,65.0,73.0,0.0
47.0,72.0,57.0,66.0,52.0,53.0,65.0,45.0,68.0,70.0,0.0
61.0,61.0,53.0,65.0,63.0,53.0,57.0,59.0,57.0,49.0,0.0
66.0,58.0,60.0,55.0,64.0,62.0,70.0,64.0,58.0,54.0,0.0
67.0,58.0,59.0,59.0,57.0,59.0,75.0,52.0,54.0,71.0,0.0
57.0,56.0,68.0,49.0,67.0,60.0,64.0,64.0,55.0,68.0,0.0
56.0,63.0,70.0,71.0,58.0,64.0,57.0,80.0,66.0,61.0,0.0
62.0,63.0,63.0,58.0,57.0,59.0,51.0,66.0,54.0,52.0,0.0
60.0,59.0,62.0,55.0,57.0,66.0,65.0,65.0,60.0,61.0,0.0
62.0,55.0,72.0,71.0,66.0,57.0,64.0,68.0,50.0,74.0,0.0
46.0,66.0,72.0,59.0,59.0,65.0,75.0,58.0,54.0,57.0,0.0
48.0,67.0,56.0,58.0,67.0,57.0,66.0,52.0,68.0,63.0,0.0
59.0,61.0,50.0,61.0,59.0,50.0,55.0,59.0,55.0,41.0,0.0
69.0,59.0,42.0,77.0,70.0,57.0,53.0,63.0,62.0,64.0,0.0
53.0,69.0,56.0,65.0,54.0,81.0,66.0,83.0,67.0,56.0,0.0
67.0,67.0,63.0,65.0,66.0,52.0,52.0,54.0,61.0,58.0,0.0
52.0,66.0,62.0,61.0,58.0,57.0,53.0,67.0,54.0,62.0,0.0
73.0,57.0,68.0,65.0,62.0,63.0,59.0,60.0,56.0,60.0,0.0
55.0,68.0,46.0,64.0,63.0,62.0,68.0,58.0,62.0,46.0,0.0
57.0,67.0,49.0,61.0,55.0,59.0,55.0,50.0,63.0,60.0,0.0
65.0,66.0,70.0,61.0,70.0,52.0,67.0,64.0,62.0,64.0,0.0
52.0,50.0,74.0,59.0,59.0,51.0,48.0,59.0,57.0,60.0,0.0
61.0,80.0,57.0,73.0,73.0,66.0,58.0,49.0,64.0,68.0,0.0
74.0,52.0,58.0,52.0,55.0,65.0,55.0,53.0,66.0,64.0,0.0
63.0,55.0,70.0,60.0,79.0,61.0,41.0,41.0,65.0,70.0,0.0
54.0,77.0,73.0,62.0,64.0,67.0,75.0,65.0,61.0,65.0,0.0
64.0,67.0,47.0,63.0,64.0,59.0,66.0,75.0,61.0,66.0,0.0
73.0,61.0,53.0,65.0,42.0,42.0,63.0,41.0,50.0,57.0,0.0
54.0,59.0,69.0,62.0,53.0,71.0,49.0,62.0,48.0,62.0,0.0
57.0,69.0,66.0,55.0,54.0,57.0,75.0,73.0,52.0,66.0,0.0
46.0,56.0,53.0,69.0,50.0,63.0,60.0,59.0,73.0,74.0,0.0
59.0,57.0,48.0,60.0,76.0,59.0,66.0,49.0,57.0,64.0,0.0
61.0,67.0,55.0,46.0,69.0,53.0,64.0,64.0,47.0,68.0,0.0
55.0,60.0,57.0,73.0,71.0,46.0,78.0,55.0,77.0,58.0,0.0
57.0,58.0,57.0,80.0,59.0,58.0,61.0,52.0,73.0,48.0,0.0
55.0,67.0,60.0,64.0,72.0,68.0,61.0,77.0,55.0,59.0,0.0
60.0,59.0,51.0,47.0,63.0,55.0,75.0,59.0,58.0,69.0,0.0
63.0,59.0,55.0,89.0,63.0,69.0,52.0,55.0,77.0,71.0,0.0
64.0,57.0,58.0,55.0,51.0,67.0,64.0,66.0,57.0,62.0,0.0
57.0,54.0,73.0,61.0,64.0,67.0,61.0,62.0,51.0,53.0,0.0
52.0,65.0,61.0,53.0,65.0,64.0,54.0,60.0,64.0,53.0,0.0
65.0,62.0,52.0,62.0,63.0,55.0,56.0,52.0,56.0,60.0,0.0
56.0,48.0,55.0,57.0,67.0,65.0,67.0,54.0,61.0,41.0,0.0
63.0,65.0,57.0,62.0,48.0,54.0,66.0,64.0,57.0,66.0,0.0
61.0,56.0,59.0,56.0,51.0,70.0,55.0,53.0,48.0,39.0,0.0
66.0,66.0,70.0,59.0,57.0,56.0,57.0,69.0,60.0,63.0,0.0
56.0,71.0,45.0,50.0,63.0,74.0,58.0,53.0,68.0,63.0,0.0
70.0,50.0,70.0,48.0,58.0,63.0,61.0,68.0,45.0,61.0,0.0
70.0,60.0,51.0,68.0,55.0,53.0,52.0,58.0,61.0,50.0,0.0
52.0,54.0,52.0,60.0,63.0,62.0,62.0,73.0,63.0,66.0,0.0
57.0,68.0,56.0,63.0,49.0,61.0,52.0,67.0,67.0,56.0,0.0
76.0,58.0,47.0,54.0,52.0,63.0,50.0,56.0,63.0,61.0,0.0
60.0,61.0,57.0,47.0,57.0,64.0,59.0,63.0,55.0,68.0,0.0
40.0,61.0,71.0,72.0,58.0,49.0,71.0,60.0,59.0,53.0,0.0
50.0,64.0,65.0,62.0,54.0,52.0,49.0,56.0,52.0,46.0,0.0
65.0,49.0,68.0,63.0,62.0,73.0,50.0,67.0,58.0,81.0,0.0
57.0,56.0,63.0,58.0,54.0,52.0,72.0,51.0,62.0,68.0,0.0
69.0,55.0,58.0,57.0,48.0,64.0,60.0,71.0,53.0,69.0,0.0
69.0,60.0,43.0,56.0,74.0,62.0,66.0,59.0,58.0,45.0,0.0
66.0,69.0,52.0,59.0,57.0,63.0,56.0,67.0,61.0,40.0,0.0
64.0,68.0,51.0,63.0,75.0,61.0,69.0,56.0,60.0,58.0,0.0
57.0,59.0,47.0,57.0,71.0,52.0,51.0,60.0,61.0,63.0,0.0
59.0,61.0,57.0,50.0,59.0,66.0,64.0,46.0,62.0,53.0,0.0
71.0,63.0,67.0,60.0,59.0,72.0,68.0,61.0,58.0,46.0,0.0
63.0,59.0,64.0,67.0,70.0,63.0,52.0,43.0,53.0,71.0,0.0
75.0,58.0,48.0,55.0,69.0,55.0,65.0,61.0,66.0,74.0,0.0
65.0,61.0,75.0,63.0,54.0,65.0,64.0,58.0,56.0,58.0,0.0
56.0,58.0,53.0,63.0,62.0,63.0,60.0,59.0,72.0,61.0,0.0
70.0,52.0,65.0,54.0,56.0,57.0,56.0,56.0,70.0,60.0,0.0
62.0,56.0,67.0,63.0,58.0,47.0,62.0,65.0,52.0,58.0,0.0
64.0,47.0,55.0,63.0,69.0,77.0,76.0,61.0,56.0,67.0,0.0
56.0,54.0,58.0,57.0,63.0,55.0,61.0,73.0,61.0,72.0,0.0
70.0,65.0,57.0,68.0,58.0,60.0,63.0,60.0,54.0,48.0,0.0
68.0,65.0,46.0,54.0,61.0,64.0,48.0,59.0,64.0,57.0,0.0
62.0,56.0,67.0,54.0,51.0,60.0,49.0,43.0,69.0,52.0,0.0
49.0,54.0,53.0,59.0,51.0,64.0,65.0,50.0,55.0,56.0,0.0
59.0,69.0,69.0,80.0,42.0,53.0,74.0,46.0,74.0,61.0,0.0
61.0,50.0,56.0,74.0,60.0,56.0,63.0,58.0,63.0,53.0,0.0
59.0,55.0,46.0,64.0,50.0,59.0,67.0,48.0,65.0,58.0,0.0
52.0,76.0,60.0,55.0,54.0,67.0,55.0,66.0,60.0,69.0,0.0
52.0,53.0,58.0,58.0,57.0,81.0,76.0,62.0,63.0,58.0,0.0
52.0,59.0,66.0,70.0,68.0,48.0,58.0,48.0,69.0,57.0,0.0
60.0,64.0,82.0,62.0,58.0,50.0,72.0,59.0,73.0,69.0,0.0
56.0,49.0,62.0,55.0,60.0,68.0,47.0,62.0,66.0,66.0,0.0
49.0,63.0,70.0,63.0,59.0,69.0,54.0,48.0,58.0,64.0,0.0
68.0,64.0,67.0,68.0,57.0,59.0,70.0,50.0,63.0,54.0,0.0
69.0,60.0,60.0,74.0,51.0,62.0,59.0,64.0,75.0,55.0,0.0
50.0,54.0,58.0,61.0,61.0,74.0,73.0,70.0,80.0,67.0,0.0
69.0,66.0,65.0,63.0,57.0,50.0,59.0,65.0,61.0,52.0,0.0
59.0,58.0,60.0,64.0,66.0,56.0,68.0,69.0,63.0,65.0,0.0
68.0,51.0,68.0,54.0,54.0,62.0,43.0,61.0,68.0,47.0,0.0
69.0,54.0,62.0,56.0,65.0,68.0,65.0,60.0,56.0,59.0,0.0
65.0,66.0,64.0,50.0,60.0,55.0,65.0,54.0,64.0,58.0,0.0
9.0,-18.0,40.0,-1.0,49.0,51.0,-40.0,-60.0,58.0,49.0,10.0
-53.0,40.0,-5.0,-29.0,45.0,-36.0,54.0,-35.0,14.0,-33.0,10.0
5.0,22.0,-37.0,3.0,-4.0,-51.0,38.0,-20.0,9.0,2.0,10.0
2.0,-47.0,-9.0,-6.0,28.0,41.0,5.0,-50.0,-32.0,-40.0,10.0
-45.0,-16.0,-32.0,-34.0,-53.0,-58.0,-48.0,-39.0,-8.0,1.0,10.0
-43.0,-9.0,-19.0,-38.0,-59.0,-4.0,22.0,-33.0,-44.0,46.0,10.0
-27.0,-33.0,43.0,38.0,-6.0,-1.0,-34.0,-51.0,9.0,-48.0,10.0
-6.0,53.0,54.0,-31.0,15.0,-3.0,45.0,-27.0,-60.0,-40.0,10.0
-18.0,-22.0,35.0,22.0,-24.0,-5.0,-49.0,48.0,52.0,58.0,10.0
44.0,-39.0,-54.0,10.0,50.0,-39.0,-59.0,37.0,-51.0,-10.0,10.0
21.0,-32.0,-50.0,32.0,16.0,59.0,-19.0,-53.0,28.0,3.0,10.0
-34.0,34.0,-36.0,-29.0,-49.0,-12.0,-10.0,2.0,25.0,49.0,10.0
-43.0,-53.0,-58.0,-43.0,19.0,27.0,34.0,-31.0,-23.0,-2.0,10.0
-52.0,13.0,58.0,-17.0,30.0,0.0,-45.0,10.0,-24.0,-56.0,10.0
16.0,43.0,-19.0,-13.0,47.0,38.0,26.0,-30.0,49.0,-41.0,10.0
15.0,-57.0,17.0,-27.0,-6.0,-19.0,-39.0,15.0,46.0,55.0,10.0
-37.0,26.0,20.0,-19.0,-58.0,23.0,53.0,16.0,-8.0,3.0,10.0
-36.0,30.0,30.0,-43.0,45.0,-28.0,58.0,-14.0,-39.0,-18.0,10.0
-7.0,-52.0,9.0,12.0,29.0,-56.0,5.0,-54.0,24.0,-53.0,10.0
49.0,24.0,1.0,-7.0,-44.0,-25.0,44.0,49.0,-60.0,11.0,10.0
26.0,14.0,-50.0,-34.0,-30.0,40.0,-4.0,-2.0,52.0,16.0,10.0
48.0,-5.0,-42.0,52.0,-5.0,-38.0,-24.0,-54.0,-4.0,42.0,10.0
52.0,52.0,-45.0,-14.0,-57.0,43.0,-17.0,16.0,26.0,-8.0,10.0
-23.0,55.0,56.0,-25.0,-2.0,57.0,-59.0,-10.0,-48.0,1.0,10.0
-57.0,-11.0,-34.0,4.0,60.0,36.0,41.0,16.0,-55.0,-35.0,10.0
51.0,-16.0,-48.0,24.0,-24.0,-28.0,60.0,43.0,-11.0,58.0,10.0
18.0,29.0,-56.0,-45.0,16.0,48.0,15.0,-44.0,-46.0,41.0,10.0
-43.0,2.0,-56.0,-50.0,21.0,23.0,-19.0,-34.0,38.0,-34.0,10.0
5.0,56.0,-42.0,53.0,-38.0,8.0,-15.0,56.0,-27.0,-12.0,10.0
58.0,4.0,0.0,-29.0,24.0,-58.0,-54.0,12.0,-19.0,54.0,10.0
48.0,26.0,38.0,20.0,-45.0,32.0,-35.0,-21.0,38.0,4.0,10.0
43.0,-34.0,13.0,-50.0,17.0,32.0,10.0,-28.0,-56.0,-46.0,10.0
15.0,52.0,-35.0,28.0,44.0,3.0,20.0,38.0,-29.0,-24.0,10.0
-60.0,56.0,50.0,32.0,-51.0,-6.0,-48.0,-58.0,14.0,55.0,10.0
48.0,24.0,-48.0,-27.0,-22.0,32.0,36.0,-14.0,-10.0,-55.0,10.0
-25.0,-6.0,-46.0,-6.0,42.0,10.0,-51.0,-37.0,-3.0,-17.0,10.0
-17.0,4.0,10.0,36.0,-19.0,37.0,-19.0,-53.0,7.0,11.0,10.0
52.0,27.0,50.0,49.0,13.0,3.0,7.0,57.0,33.0,-47.0,10.0
33.0,-40.0,-6.0,-35.0,23.0,45.0,-25.0,-50.0,-24.0,21.0,10.0
-21.0,-27.0,-38.0,-0.0,-27.0,28.0,-51.0,20.0,-31.0,-1.0,10.0
-26.0,27.0,53.0,50.0,10.0,-4.0,38.0,22.0,-38.0,39.0,10.0
-9.0,-37.0,-26.0,-28.0,2.0,-32.0,-45.0,-45.0,10.0,28.0,10.0
-21.0,-56.0,-45.0,50.0,-1.0,-6.0,-55.0,27.0,3.0,-36.0,10.0
-47.0,-14.0,40.0,44.0,12.0,27.0,-46.0,11.0,20.0,-36.0,10.0
46.0,-37.0,-22.0,14.0,17.0,24.0,-47.0,42.0,4.0,-3.0,10.0
58.0,29.0,-46.0,31.0,-49.0,-57.0,-12.0,59.0,-39.0,21.0,10.0
-39.0,27.0,1.0,22.0,-36.0,29.0,59.0,20.0,-1.0,51.0,10.0
-58.0,28.0,47.0,-53.0,-6.0,-35.0,8.0,18.0,-24.0,-5.0,10.0
-26.0,-16.0,-41.0,46.0,-59.0,46.0,9.0,-20.0,27.0,1.0,10.0
-0.0,-47.0,-13.0,-31.0,-58.0,-17.0,-49.0,-29.0,-49.0,-48.0,10.0
60.0,68.0,67.0,54.0,60.0,66.0,68.0,55.0,66.0,63.0,0.0
51.0,66.0,61.0,46.0,58.0,60.0,55.0,70.0,70.0,57.0,0.0
56.0,59.0,58.0,55.0,30.0,74.0,60.0,59.0,63.0,59.0,0.0
57.0,52.0,45.0,49.0,51.0,65.0,66.0,53.0,39.0,60.0,0.0
57.0,56.0,68.0,61.0,52.0,50.0,58.0,53.0,59.0,68.0,0.0
49.0,61.0,67.0,59.0,66.0,58.0,61.0,64.0,55.0,76.0,0.0
65.0,70.0,69.0,63.0,71.0,61.0,54.0,60.0,52.0,43.0,0.0
53.0,61.0,68.0,53.0,68.0,50.0,53.0,72.0,60.0,59.0,0.0
62.0,50.0,57.0,60.0,70.0,47.0,74.0,59.0,51.0,50.0,0.0
62.0,49.0,56.0,58.0,69.0,68.0,55.0,58.0,47.0,44.0,0.0
50.0,69.0,66.0,63.0,48.0,54.0,53.0,59.0,58.0,52.0,0.0
63.0,62.0,54.0,62.0,69.0,71.0,64.0,64.0,58.0,68.0,0.0
51.0,67.0,58.0,72.0,65.0,59.0,58.0,64.0,64.0,57.0,0.0
61.0,67.0,49.0,66.0,64.0,69.0,54.0,60.0,62.0,66.0,0.0
63.0,50.0,62.0,76.0,65.0,73.0,68.0,71.0,62.0,64.0,0.0
62.0,60.0,66.0,56.0,75.0,53.0,66.0,71.0,59.0,51.0,0.0
69.0,62.0,66.0,59.0,74.0,43.0,63.0,71.0,61.0,62.0,0.0
57.0,60.0,47.0,54.0,54.0,65.0,55.0,56.0,57.0,54.0,0.0
62.0,63.0,67.0,65.0,64.0,57.0,57.0,53.0,53.0,62.0,0.0
54.0,72.0,60.0,72.0,65.0,54.0,60.0,47.0,62.0,55.0,0.0
51.0,72.0,68.0,68.0,66.0,50.0,57.0,57.0,46.0,56.0,0.0
56.0,61.0,80.0,60.0,61.0,58.0,66.0,51.0,75.0,59.0,0.0
57.0,68.0,53.0,66.0,71.0,58.0,76.0,65.0,65.0,71.0,0.0
73.0,62.0,66.0,71.0,51.0,46.0,60.0,46.0,57.0,63.0,0.0
58.0,59.0,52.0,66.0,52.0,43.0,58.0,67.0,61.0,51.0,0.0
61.0,63.0,61.0,58.0,64.0,46.0,53.0,50.0,71.0,66.0,0.0
61.0,48.0,66.0,71.0,65.0,60.0,65.0,62.0,67.0,67.0,0.0
58.0,55.0,57.0,64.0,57.0,54.0,60.0,69.0,61.0,58.0,0.0
63.0,61.0,45.0,66.0,63.0,60.0,68.0,70.0,66.0,53.0,0.0
53.0,69.0,45.0,59.0,64.0,46.0,62.0,68.0,48.0,73.0,0.0
52.0,65.0,59.0,61.0,50.0,70.0,63.0,73.0,50.0,59.0,0.0
62.0,60.0,65.0,58.0,77.0,60.0,37.0,61.0,70.0,53.0,0.0
52.0,53.0,51.0,56.0,67.0,72.0,41.0,57.0,62.0,62.0,0.0
75.0,44.0,39.0,76.0,66.0,55.0,61.0,62.0,55.0,61.0,0.0
63.0,76.0,68.0,74.0,49.0,57.0,62.0,45.0,69.0,65.0,0.0
57.0,59.0,70.0,54.0,70.0,58.0,66.0,61.0,78.0,53.0,0.0
55.0,48.0,51.0,66.0,73.0,67.0,60.0,53.0,67.0,52.0,0.0
49.0,58.0,44.0,49.0,75.0,48.0,51.0,61.0,61.0,58.0,0.0
44.0,67.0,56.0,70.0,55.0,68.0,70.0,56.0,67.0,49.0,0.0
62.0,70.0,64.0,79.0,65.0,57.0,83.0,73.0,47.0,54.0,0.0
52.0,65.0,65.0,64.0,47.0,55.0,59.0,45.0,53.0,71.0,0.0
48.0,72.0,69.0,58.0,55.0,67.0,54.0,54.0,60.0,43.0,0.0
48.0,57.0,64.0,54.0,58.0,47.0,67.0,62.0,62.0,64.0,0.0
61.0,56.0,69.0,61.0,59.0,60.0,60.0,59.0,64.0,53.0,0.0
53.0,64.0,59.0,68.0,63.0,56.0,65.0,70.0,64.0,65.0,0.0
59.0,68.0,55.0,63.0,80.0,64.0,57.0,57.0,59.0,67.0,0.0
61.0,55.0,55.0,61.0,60.0,64.0,67.0,82.0,48.0,65.0,0.0
61.0,45.0,70.0,63.0,66.0,46.0,58.0,51.0,77.0,69.0,0.0
55.0,48.0,62.0,69.0,46.0,53.0,51.0,67.0,57.0,57.0,0.0
61.0,53.0,48.0,71.0,72.0,61.0,62.0,70.0,61.0,57.0,0.0
60.0,71.0,60.0,55.0,61.0,65.0,64.0,64.0,53.0,66.0,0.0
60.0,54.0,66.0,56.0,47.0,52.0,59.0,65.0,53.0,58.0,0.0
50.0,68.0,74.0,73.0,68.0,67.0,43.0,61.0,56.0,67.0,0.0
40.0,62.0,58.0,69.0,72.0,53.0,53.0,62.0,74.0,60.0,0.0
50.0,55.0,62.0,62.0,54.0,55.0,52.0,69.0,53.0,56.0,0.0
56.0,47.0,53.0,70.0,50.0,52.0,49.0,59.0,75.0,59.0,0.0
61.0,54.0,60.0,70.0,61.0,77.0,70.0,59.0,59.0,73.0,0.0
61.0,71.0,76.0,58.0,63.0,68.0,66.0,66.0,49.0,53.0,0.0
56.0,70.0,50.0,72.0,66.0,69.0,53.0,61.0,62.0,62.0,0.0
62.0,58.0,61.0,68.0,51.0,72.0,68.0,52.0,63.0,67.0,0.0
50.0,60.0,59.0,55.0,61.0,55.0,71.0,55.0,66.0,47.0,0.0
59.0,60.0,58.0,57.0,55.0,66.0,68.0,59.0,51.0,74.0,0.0
53.0,48.0,44.0,61.0,58.0,68.0,65.0,62.0,58.0,69.0,0.0
75.0,68.0,56.0,66.0,57.0,51.0,53.0,57.0,61.0,76.0,0.0
53.0,71.0,57.0,44.0,56.0,69.0,63.0,63.0,71.0,52.0,0.0
52.0,42.0,67.0,64.0,66.0,51.0,47.0,49.0,53.0,72.0,0.0
68.0,56.0,62.0,55.0,63.0,51.0,66.0,53.0,66.0,57.0,0.0
54.0,73.0,61.0,57.0,66.0,49.0,69.0,59.0,65.0,48.0,0.0
57.0,60.0,68.0,65.0,57.0,63.0,70.0,58.0,58.0,45.0,0.0
58.0,46.0,59.0,68.0,43.0,70.0,57.0,60.0,56.0,46.0,0.0
54.0,77.0,51.0,47.0,61.0,59.0,57.0,60.0,65.0,55.0,0.0
62.0,68.0,52.0,41.0,65.0,80.0,60.0,62.0,58.0,73.0,0.0
59.0,59.0,67.0,56.0,50.0,67.0,55.0,52.0,77.0,59.0,0.0
64.0,60.0,53.0,65.0,63.0,55.0,63.0,56.0,51.0,50.0,0.0
62.0,57.0,72.0,60.0,54.0,61.0,50.0,59.0,63.0,62.0,0.0
70.0,81.0,65.0,69.0,80.0,52.0,61.0,56.0,67.0,62.0,0.0
53.0,60.0,68.0,50.0,54.0,52.0,63.0,70.0,44.0,61.0,0.0
53.0,68.0,58.0,61.0,60.0,69.0,76.0,51.0,52.0,63.0,0.0
53.0,67.0,69.0,56.0,54.0,58.0,61.0,63.0,42.0,52.0,0.0
57.0,54.0,37.0,45.0,50.0,59.0,57.0,55.0,66.0,66.0,0.0
61.0,61.0,53.0,54.0,46.0,58.0,66.0,71.0,58.0,64.0,0.0
37.0,57.0,56.0,72.0,63.0,64.0,64.0,60.0,72.0,42.0,0.0
61.0,69.0,45.0,67.0,54.0,61.0,54.0,68.0,58.0,67.0,0.0
63.0,54.0,64.0,55.0,61.0,58.0,67.0,64.0,60.0,55.0,0.0
50.0,61.0,55.0,45.0,49.0,73.0,55.0,69.0,57.0,70.0,0.0
69.0,53.0,44.0,45.0,54.0,75.0,57.0,61.0,70.0,61.0,0.0
61.0,65.0,62.0,59.0,54.0,61.0,69.0,74.0,62.0,66.0,0.0
62.0,59.0,64.0,69.0,53.0,48.0,56.0,62.0,67.0,52.0,0.0
40.0,56.0,58.0,51.0,54.0,67.0,61.0,63.0,57.0,54.0,0.0
57.0,64.0,48.0,73.0,65.0,56.0,66.0,70.0,57.0,58.0,0.0
9.0,6.0,-37.0,-53.0,-50.0,59.0,34.0,51.0,-37.0,55.0,10.0
-43.0,1.0,40.0,-18.0,-9.0,-45.0,-45.0,14.0,21.0,33.0,10.0
7.0,17.0,-58.0,-41.0,58.0,-51.0,21.0,-39.0,26.0,25.0,10.0
-32.0,-28.0,19.0,-13.0,-37.0,28.0,-42.0,43.0,2.0,-47.0,10.0
23.0,2.0,-24.0,-9.0,-24.0,-28.0,-40.0,-16.0,-30.0,22.0,10.0
22.0,0.0,33.0,41.0,10.0,14.0,-26.0,47.0,-57.0,-18.0,10.0
27.0,-50.0,-38.0,11.0,7.0,29.0,38.0,-45.0,-58.0,23.0,10.0
-24.0,15.0,-42.0,-4.0,1.0,10.0,2.0,-1.0,-20.0,-51.0,10.0
-49.0,-8.0,-17.0,2.0,-23.0,23.0,44.0,-24.0,-37.0,-46.0,10.0
14.0,-7.0,-37.0,18.0,-42.0,7.0,3.0,28.0,-53.0,47.0,10.0
